舅,0.664253
連れ子,0.725213
恋人,0.631647
恋し,0.574018
両親,0.633859
容認,0.598715
幼馴染,0.573373
友だち,0.576258
姪,0.771218
娘,0.760899
末っ子,0.708806
妹,0.667556
亡くし,0.665935
母方,0.678729
母親,0.679129
母,0.667556
片思い,0.661845
父方,0.600161
父親,0.690729
父,0.833376
夫,0.668613
付き合っ,0.640199
彼女,0.773971
彼,0.641956
白人,0.566194
伯父,0.680524
年越し,0.571068
童貞,0.596097
同い年,0.609831
土地,0.598716
弟,0.753028
長男,0.683053
長女,0.711695
恥ずかしながら,0.570273
男の子,0.557658
他界,0.613055
息子,0.693114
祖母,0.701974
祖父母,0.760658
祖父,0.708788
前妻,0.610924
親友,0.564359
親,0.608117
小姑,0.668764
女の子,0.577799
初恋,0.568966
叔母,0.69608
叔父,0.602234
従兄弟,0.707759
実母,0.66796
実,0.712526
次男,0.666226
姉妹,0.671306
姉,0.760541
妻,0.679687
高２,0.607226
高１,0.558481
姑,0.667919
姑,0.606376
健在,0.681505
兄嫁,0.712221
兄,0.746742
久々,0.576713
義理,0.69918
義妹,0.673456
義父,0.678641
義弟,0.667522
義姉,0.678303
義兄,0.677137
家内,0.605057
嫁,0.617408
甥,0.738178
引っかかっ,0.557613
一人っ子,0.681808
一昨日,0.571485
一軒家,0.596831
もうすぐ,0.566332
プロポーズ,0.565587
ヒステリー,0.619067
はじめて,0.605521
なつい,0.597318
っ子,0.689191
つきあっ,0.582144
ゲイ,0.55725
クラスメイト,0.587781
カレ,0.595878
カノ,0.659873
お正月,0.557615
おととい,0.55833
エッチ,0.570579
いわく,0.568106
いとこ,0.731569
いいかげん,0.625013
アムウェイ,0.558461
Ｙ,0.575179
SEX,0.557818
K,0.572078
H,0.600265
